,x,y,brand,cluster
0,1.2881941091915934,-1.421823041508108,032c,12
1,1.3541395760027157,-0.654753177977277,11 by Boris Bidjan Saberi,3
2,-0.49495256094241735,0.33918831708853336,132 5. ISSEY MIYAKE,4
3,-0.49495256094241735,0.33918831708853336,3.1 Phillip Lim,4
4,1.3541395760027153,-0.6547531779772772,3MAN,3
5,-0.14406169683421002,-0.9582937316372339,4SDESIGNS,0
6,-0.14406169683421002,-0.9582937316372339,99% IS,0
7,-1.7092338743154172,-1.111761783618145,A-COLD-WALL*,5
8,1.3541395760027153,-0.6547531779772772,A. A. Spectrum,3
9,1.1482844710070539,1.1264810113990114,A.P.C.,6
10,-1.9818789891538087,1.194027698470677,Acne Studios,2
11,1.288194299153302,-1.421822881429256,ACRONYM,12
12,-2.0107685037587495,0.38146602301058186,adidas Originals,9
13,-0.49495256094241724,0.33918831708853336,adidas Originals x Pharrell Williams,4
14,-0.49495256094241724,0.33918831708853336,adidas x Human Made,4
15,1.3194159838339705,1.574937653905203,adidas x IVY PARK,8
16,1.354139576002715,-0.6547531779772772,ADYAR,3
17,-0.14406169683421002,-0.9582937316372339,Ahluwalia,0
18,-0.14406169683421002,-0.9582937316372339,AïE,0
19,-0.14406169683421002,-0.9582937316372339,Aitor Throup’s TheDSA,0
20,-0.14406169683421002,-0.9582937316372339,Alan Crocetti,0
21,-0.14406169683421002,-0.9582937316372339,Alchemist,0
22,-2.2855497338454085,0.1366894927199479,Alexander McQueen,9
23,1.3541395760027146,-0.6547531779772773,All Blues,3
24,-0.5804865089602456,0.8992626538579064,Ambush,13
25,-0.5804865089606469,0.8992626538577718,AMI Alexandre Mattiussi,13
26,1.1618946161411865,0.7680295425922888,AMIRI-W,6
27,-0.6354951006371153,0.7972571869228228,AMIRI-M,13
28,-0.14406169683421005,-0.9582937316372337,Andersson Bell,0
29,-0.4650249919926148,1.88158446668006,Ann Demeulemeester,7
30,-0.14406169683421005,-0.9582937316372337,Aries,0
31,-0.14406169683421005,-0.9582937316372337,Arnar Már Jónsson,0
32,-0.14406169683421005,-0.9582937316372337,Article No.,0
33,-0.494952560942417,0.3391883170885333,Asics,4
34,-0.14406169683421005,-0.9582937316372337,AURALEE,0
35,-0.14406169683421005,-0.9582937316372337,Awake NY,0
36,-2.1404811705354927,-0.5697696088168377,Axel Arigato,5
37,-1.8468011861882279,1.0741384236639258,Balenciaga-W,2
38,-1.9816280469325651,0.8536787259130512,Balenciaga-M,2
39,-2.1357917108925415,0.07564109450776618,Balmain,9
40,-0.42128209924056065,2.2267600322790475,Bao Bao Issey Miyake-W,7
41,-2.010768503755482,0.38146602302027743,Bao Bao Issey Miyak-M,9
42,-1.4726965562327448,-0.44429514144794174,BAPE,5
43,1.1618946161411856,0.7680295425922888,Barbour,6
44,1.1618946161411856,0.7680295425922888,Barena,6
45,0.46378081580740516,1.4261955100537989,Bather,1
46,-0.49495256094241713,0.33918831708853325,BEAMS PLUS,4
47,-0.14406169683421002,-0.9582937316372335,BED J.W. FORD,0
48,0.4637808158074053,1.4261955100537989,Belstaff,1
49,-0.14406169683421002,-0.9582937316372334,Bethany Williams,0
50,-0.9190180926014756,1.3634513179009893,Billionaire Boys Club,10
51,1.3541395760027144,-0.6547531779772773,Blackmerle,3
52,-0.14406169683421002,-0.9582937316372335,Bless,0
53,-0.14406169683421002,-0.9582937316372335,Bleue Burnham,0
54,-0.14406169683421002,-0.9582937316372335,Bloke,0
55,-0.14406169683421002,-0.9582937316372335,Boramy Viguier,0
56,1.3541395760027142,-0.6547531779772773,Boris Bidjan Saberi,3
57,-0.9190180926126249,1.363451317893028,Boss,10
58,1.3541395760027142,-0.6547531779772774,both,3
59,-1.9816280464749834,0.853678726854914,Bottega Veneta,2
60,-0.14406169683421002,-0.9582937316372334,Botter,0
61,-0.919018092601458,1.3634513179010017,Brain Dead,10
62,-0.49495256094241724,0.33918831708853314,Brioni,4
63,-1.8045321483313765,0.9132907585488569,Burberry,2
64,-0.14406169683421005,-0.9582937316372334,By Walid,0
65,-0.14406169683421005,-0.9582937316372334,BYBORRE,0
66,-0.4949525609424172,0.33918831708853303,C.P. Company,4
67,-0.14406169683421002,-0.9582937316372333,C2H4,0
68,0.35704239457725057,0.6497162326004412,Calvin Klein Underwear,1
69,-0.14406169683421002,-0.9582937316372333,Camiel Fortgens,0
70,-0.49495256094241724,0.33918831708853314,CamperLab,4
71,0.35704221307680223,0.6497163950523269,Canada Goose,1
72,-0.919018092601876,1.363451317900698,Carhartt Work In Progress,10
73,1.1618946161411836,0.7680295425922894,Carne Bollente,6
74,-0.14406169683421002,-0.9582937316372333,Casablanca,0
75,0.4637808158074054,1.426195510053797,Castañer,1
76,0.4637808158074054,1.426195510053797,CDLP,1
77,-0.14406169683421002,-0.9582937316372331,CFCL,0
78,-0.14406169683421002,-0.9582937316372331,Charles Jeffrey Loverboy,0
79,-0.49495256094241713,0.3391883170885331,Chemist Creations,4
80,-0.14406169683421002,-0.958293731637233,Children of the Discordance,0
81,1.354139576002713,-0.6547531779772772,Chin Teo,3
82,-1.5208057196253204,1.0527480911447533,Christian Louboutin,2
83,1.3194159813198645,1.574937655716163,Clarks Originals,8
84,-0.49495256094241713,0.33918831708853314,Clot,4
85,1.161894616141183,0.768029542592289,Coach 1941,6
86,1.3541395760027128,-0.6547531779772772,COMMAS,3
87,-0.4650248884913033,1.8815844886813644,Comme des Garçons Homme,7
88,0.35774357829224906,1.5012227190953786,Comme des Garçons Homme Deux,1
